Product,Quantity,"Total Trade Price","Total Retail Price",MPN,SKU
"100” 4K DB100 TV Black Frame, Back & Glass",1,"$32,083.10","$54,999.60",,DB100BB
"100” 4K DB100 TV White Frame, Back & Glass",1,"$32,083.10","$54,999.60",,DB100WW
"AIM8 TWO Series 2, 8"" 2-way, In-Ceiling Speaker",4,$786.68,"$2,360.00",AIM282,
"Cinema 100 CT System (240V)",1,$550.89,"$1,322.14",1019000001,
"Control4® EA-5 Entertainment and Automation Controller, V2",1,"$1,054.95","$1,768.96",C4-EA5-V2,C4-EA5-V2
DIN-2MC2,1,$301.00,$722.40,6501745,
Décor-1SC-(90-130in),1,"$1,433.24","$3,439.77",1210000042,
"ELA SC 200 ZW",2,"$1,572.88","$4,000.00",EL-SC-200-ZW,
ELA-IP-IDV2-WH,1,$216.27,$415.99,EL-IP-IDV2-WH,
ELA-IP-ODA4-BK,1,$278.07,$533.89,EL-IP-ODA4-BK,
ELA-IP-ODA4-WH,2,$578.40,"$1,067.98",EL-IP-ODA4-WH,
ELA-NVR-2TB,1,$660.37,"$1,282.99",EL-NVR-2TB,
"Episode Mini AV Receiver | 5.1 Channel",2,$982.50,"$1,787.88",EA-MINI-5.1D-200,EA-MINI-5.1D-200
KLI-CS-16-CSM,1,$90.96,$220.50,1064162,
KOR-BRAVO-HDMI-1.5,2,$80.04,$115.98,Bravo-HD0150,
"MCA 525 v2",2,"$4,073.70","$8,147.40",1412000033,
"Neeo Remote for Control4 (Black)",2,$705.60,"$1,175.90",NE-RMT-BL,NE-RMT-BL
PRO-16RC,5,$808.50,"$1,942.50",1064446,
"PRO-180RPC IN-CEILING SPEAKER",10,"$2,543.40","$6,125.00",1063967,KLI-PRO-180RPC
PRO-18RC,3,$565.95,"$1,365.00",1064447,
"Pakedge 24 Port Managed Switch with 24 PoE or 12 PoE+ Ports EOS",1,$761.45,"$1,272.95",SX-24P,SX-24P
RAK-RAK-LINK,1,$275.10,$393.00,RAK-LINK,
RAK-RAK8-MB,1,$295.40,$422.00,RAK8-MB,
"RAK-RCM-070 (Black Nickel)",5,$637.00,"$1,092.00",,
"RAK-WCM-070 (Black Nickel)",1,$166.60,$285.60,,
RAK-WDA-600,1,$74.20,$127.20,WDA-600,
RAK-WML-300,3,$222.60,$381.60,WML-300,
RAK-WMT-400,2,$148.40,$254.40,WMT-400,
SLM-3400-C,1,$188.65,$455.00,1063200,
"Strong Carbon Series H-Bracket Adapter for Articulating Mounts",1,$23.65,$74.95,SM-CB-H-BKT,SM-CB-H-BKT
"Strong Custom Series Floor Standing Rack - 20"" Depth | 42U",1,$258.75,$758.95,SR-CUSTOM-42U-20IN,SR-CUSTOM-42U-20IN
UBI-UAP-AC-HD,3,$695.13,$981.36,UAP-AC-HD,
UBI-UAP-AC-NANOHD,1,$121.94,$172.15,UAP-nanoHD,
WK-HUB,1,$263.90,$377.00,WK-HUB,
"neo:Lite 70m Extender Set",1,$140.00,$282.00,P8-HDBT-L-EXSET,
"neo:Lite HDMI Extender Set",1,$140.00,$282.00,P8-HDBT-L-EXSET,
